Diesel,,,,
,,,,
Density,[kg/m^3],818.1,,
Temperature,[C],40,,
Dynamic Viscosity,[Pa s],0.00220887,,
,,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],,
0.009795918,0.002101865,1.93501377,,
0.009183673,0.002112772,1.92999613,,
0.008571428,0.002123586,1.92538071,,
0.007959183,0.002134311,1.92116725,,
0.007346939,0.002144949,1.9173559,,
0.006734694,0.002155232,1.913975,,
0.006122449,0.002163308,1.91131306,,
0.005510204,0.002171365,1.90904176,,
0.004897959,0.002179405,1.90716267,,
0.004285714,0.002187426,1.9056766,,
0.003673469,0.002195428,1.90458465,,
0.003061224,0.002203031,1.89827287,,
0.00244898,0.002210389,1.88870811,,
0.001836735,0.002217745,1.87940145,,
0.00122449,0.002225099,1.87035692,,
0.000612245,0.002232451,1.86157775,,
0,0.002239801,1.8530674,,
