Mercury,,,
,,,
Density,[kg/m^3],13319.6,
Temperature,[C],50,
Dynamic Viscosity,[Pa s],0.00141,
,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],
0.029999999,0.014227204,2.16971397,
0.029999979,0.014227202,2.16971397,
0.029387735,0.014611342,2.16859412,
0.028775491,0.015155222,2.17614317,
0.028163247,0.015818521,2.19206095,
0.027551003,0.016573852,2.21600699,
0.026938759,0.017393528,2.24752975,
0.026326515,0.018578004,2.24867082,
0.025714271,0.019885594,2.24407315,
0.025102027,0.021208849,2.2454536,
0.024489783,0.02254552,2.25258088,
0.023877539,0.023890294,2.26539159,
0.023265295,0.024793614,2.24663877,
0.022653051,0.025532238,2.22654152,
0.022040807,0.02618175,2.20736289,
0.021428563,0.026831262,2.18990564,
0.020816319,0.027578255,2.16967869,
0.020204075,0.028399959,2.15046859,
0.019591831,0.028890809,2.13384414,
0.018979587,0.029291205,2.12100053,
0.018367343,0.029790515,2.10019517,
0.017755099,0.030301107,2.07841539,
0.017142855,0.030813076,2.05704474,
0.016530611,0.03129442,2.03692937,
0.015918367,0.031545598,2.02247238,
0.015306123,0.031786785,2.00922704,
0.014693878,0.03201827,1.99702501,
0.014081633,0.03224057,1.98573649,
0.013469388,0.032455061,1.9752326,
0.012857143,0.032739129,1.96596944,
0.012244898,0.033072528,1.95789385,
0.011632653,0.033422023,1.95048857,
0.011020408,0.033712886,1.94571018,
0.010408163,0.03400771,1.9408412,
0.009795918,0.034272082,1.93599319,
0.009183673,0.03444878,1.93098891,
0.008571428,0.034623988,1.92638862,
0.007959183,0.034797747,1.92219281,
0.007346939,0.034970075,1.91840112,
0.006734694,0.035136711,1.91499376,
0.006122449,0.03526796,1.91194487,
0.005510204,0.035398908,1.90928125,
0.004897959,0.035529558,1.90700459,
0.004285714,0.035659913,1.90511596,
0.003673469,0.035789959,1.90361679,
0.003061224,0.035912141,1.90014672,
0.00244898,0.036029477,1.89547694,
0.001836735,0.036146786,1.89107096,
0.00122449,0.036264062,1.88692963,
0.000612245,0.036381308,1.88305533,
0,0.036498528,1.87944913,
